Index,tweet,Affect_Dimension,target
463,max @whitephobe is lit af he rly put up w my dumb ass for abt two yrs ol boy deserves an award &lt,joy,0
464,@SkyNews @CNN @cnnbrk watching the #totalsolareclipse on ur channels right now #amazing what's happening in the #usa,joy,0
465,Going to bed with dry and clean hair. #blessing,joy,0
466,"@MFaizAbdulKarim And i'm serious, 20-23 july, singapore, holiday (and accompany my friend for job interview), with one of my friend.",sadness,0
467,this year keeps getting more depressing and disappointing,sadness,1
468,I hate giving my heart for it to get broken. I hate it..,Depression,1
469,Bout to cry 馃槶 I just wanna sleep I hate this job 馃槱,sadness,1
470,"Me: How much price for this poster of this sexy man? Sales Clerk: That's a mirror, sir.\n #LaughOutLoud ",joy,0
471,@beenthatkyd so I scrolled back up on the '17 GC because I missed it earlier and man you toooooooooo funny 馃槀馃槀馃槀馃槀馃槀 hilarious headassss!!!,joy,0
472,Emotions are running high as I see my dream deteriorate right in front of my own eyes !! Can't help myself just watching my dreams deteriorating right in front of my eyes !!,Depression,1
473,"When being #productive (doing the things that NEED to be done), #anxiety levels decrease &amp; #libido increases. #personalsexuality",fear,0
474,mum got out of a rlly bad car crash completely not injured and i found a rlly sentimental piece of jewellery i thought i'd lost #blessed,joy,0
475,"According to ur last conversation with someone , search urself and ask if that person is to die the next day are u gonna be at peace with yourself 馃檮 is real   ",Depression,1
476,see me #smiling at my #past like what was I thinking? \nFind #rest oh my #soul d #seas 艅 #storms still know HIS name. \n#JESUS\n#iLoveJesus,joy,0
477,Spread smiles around everywhere you go\n#spreadingsmiles #smiles #healtyliving #LaughOutLoud #happinessallaround,joy,0
478,@DaddysLittleK Wow I've just spotted the cutest human being alive #blessed 馃槏,joy,0
479,鈥楽acrifice鈥�  Given all I am Left deserving of nothing Sacrificial lamb,Depression,1
480,"Anxiety is another word fear, depression, jealousy, or conditions that keeps man in an emotional disequilibrium   鈥淒on鈥檛 be anxious about anything; rather, bring up all of your requests to God in your prayers...鈥� Phil.4:6 CEB     ",Depression,1
481,"Damn, y'all flamin' him. 馃槀\n\nI just thought it was funny. 馃槀馃槀",joy,0
482,Our reliable and effective recovery programs are led and supported by experienced professional therapists. Personalized care is provided by motivated staff with years of experience in addiction treatment.,Depression,1
483,This all thing you feel when you have PTSD.,Depression,1
484,I'm extra lazy today 馃槦,fear,0
485,"Playing at July 11, 2017 at 09:30PM: Special '20 ",sadness,0
486,@Retale It would be #awesomeness to win this for my 2 girls.,joy,0
487,Dick Gregory &amp,joy,0
488,I have uploaded my first article for @TheProteinWorks! Keep your eyes open for more 馃槈馃挭馃憣#recipes #nutrition #gainz #delicious #biggestfan,joy,0
489,The beautiful thing is how you be \nSmart\nStrong\nNice\nHappy,joy,0
490,@theviberide great workout this morning alongside @Emily_Gagnon thx #Courtney my legs are still,anger,0
491,NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities,fear,0
492,"If you can have a full blown conversation in your head, you're probably a writer. Either that or insane. Or like me, both. lol   ",Depression,1
493,"Listen, I love my mutuals so much they're such beautiful people inside and out. I'm so happy to have you in my life. I love you so much",joy,0
494,all my friends are toxic ambitionless so rude and always negative i need new friends but its not that quick and easy or im drowning let me breath /ly,Depression,1
495,I'm reminiscing on all the good times for the rest of the week ion care 馃槳馃挴,Depression,1
496,They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @codecityco @n8walke @dianap_patton @DrMattKutz,sadness,0
497,Ever been a slave to better days?,Depression,1
498,To go back in time to the 1st grade so you can walk up and shove your bully on the playground. Little asshole.\n#StupidReasonsToUseTimeTravel,fear,0
499,@nkrrao karamadai ranganatha. Pallikondeeswarar shiva. Some more avl. Dont outrage without reason @kalps1616,fear,0
500,"Ever hv a feeling of ""doom"" but don't know why?馃槼   ",Depression,1
501,Don't let a #Season of #Sorrow turn into a lifetime of #bitterness ~ #FearfullyMade #GracefullySaved,anger,0
502,Mon the Blues! #origin #queenslandvsnsw #blues #hayneplane 馃數馃數馃數馃數馃數馃數馃數,sadness,0
503,Hey @Apple I hope you guys don't release that #horrendous looking copper color.  Might as well walk around with a pocket full of pennies 馃槀,fear,0
504,@RealHughJackman B E A utiful #smile \nalways keep smiling be happy &amp,joy,0
505,Help me fight it..,Depression,1
506,me deciding to be serious in my life:,Depression,1
507,Did something happen to make you start feeling this way?,Depression,1
508,"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but鈽� it's nice ur smile :) winner馃挄馃挄馃尭馃尭馃尭",joy,0
509,"I am always too much, all of the time.   My presence = annoyance.   Why am I even here?      ",Depression,1
510,My morning protein shake. Delicious way to assure I start my day the right way with 21 gms of whey protein. #protein #shake #morning,fear,0
511,@matthewpouliot Wow-he had sooo much talent. #glad he is still playing,joy,0
512,Please where in this IBADAN is light constant馃槶馃槶馃槶馃槶馃槶......I'm very frustrated and feeling miserable (*please I'm not joking o*)  I need emergency help ejoooooooorrrrrr馃槶馃槶馃槶馃槶馃槶馃槶馃槶 My life depends on light馃げ馃げ馃げ,Depression,1
513,@RosieHale Bro no you don't you'll be so dissapointed in me 馃槀 il let you read it next time you're down here tho 馃拋,sadness,0
514,You know you chose a good husband when he prepares lunch for you early in the morning 馃挒 #tears,sadness,0
515,"I've seen a woman die because of depression, a woman who reached a point where she ""no longer want to talk about it"", a woman who died in her spirit while she was still alive....never overlook anyone's mental state.    ",Depression,1
516,It clears depression 馃憤馃憤,Depression,1
517,When I鈥檓  I find my way back . Home to self. Home to where I鈥檓 originally from  .,Depression,1
518,"@NoahWebHouse A review of my book faulted me for spending so much time on Webster's introductory front matter. But I had to, #brilliant!",joy,0
519,@MargoGray48 @waff48 @trentnews @katcampbellwx Good morning Margo! We are馃榾have a terrific Tuesday dear,fear,0
520,"There's no pine in it, there's no apple in it, Let's call it Pineapple #funny",joy,0
521,"It's not the emotions that hit you at night, it's the lack of emotion, it's that emptiness inside that eats you alive.        ",Depression,1
522,No one can provoke you. No one can make you happy or unhappy. You are the one in control.,anger,0
523,This is the day the Lord hath made! I will rejoice &amp,joy,0
524,Stranger Things S2 25secs teaser! #excited 馃槻,joy,0
525,@Roberts_An28 Ahww noo don't be shy! I don't bite 馃槴鉂�,fear,0
526,nothing's left to live,Depression,1
527,Meeting again with someone you used to rely on can be both a bless and a curse.,Depression,1
528,At age of 50 after watching closely 1000s of lives.  I prefer my mental illness to self esteem issues of normies. No offense to normies.,Depression,1
529,We need to start reading depression as deep-rest-ion.,Depression,1
530,Today I'm #grateful for\n\nMy car\nMy phone\nMy thumbs\nGoing on walks\n@Twitter \n\nWhat are you grateful for today?,joy,0
531,@pattonoswalt @EricaRoman_ Amazing how folks are foaming at the mouth to judge. We're happy for you @pattonoswalt !!!!!!!!!!,anger,0
532,"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid",fear,0
533,whats for #breakfast today ? i have 2 slices of #bread out i #toast them #spread them with #butter &amp,joy,0
534,Do yoga to overcome depression,Depression,1
535,A little of # yoga for a #happy day!! #Noeishappy #yogagirl #yogaeverydamnday #namaste #grateful #blessed 馃檵馃槉馃檹,joy,0
536,"And now that Im having the other way around, i feel so upset and sad",sadness,1
537,the new gacha life episode jo one talk to me,Depression,1
538,"New, and a bit alarming . . .",anger,0
539,Looking forward to @CongletonFC playing @FCUnitedMcr tonight. 7.30 start  #comeonthebears,fear,0
540,I wrote this when I was tired. Should have included,Depression,1
541,Edge of my seat @GameOfThrones loved it #dragonsontheWall,fear,0
542,I can't afford to be unhappy. I've made it this far and there isn't anything or anyone that's going to take my happiness away.,anger,0
543,Good morning. Been quiet whilst I fight my latest low in my    battle.,Depression,1
544,i havent been very active on here lately ahh this last week has been super busy 馃槼馃槼 and before that i was  so i just shut myself off 馃拃 oopsies! im back again tho might fuck around and watch a dario argento movie or smth since i have a deadline im avoiding,Depression,1
545,just watch a revenge movie or write it down in a journal and let it all out,anger,0
546,"Do #you #said, people never cross the 10! #serious",sadness,0
547,It鈥檚 been 28 days now a month ago.  10.02.2022馃晩馃挃,Depression,1
548,Can finally start looking forward to my sisters wedding on Friday now the car is sorted 鈽猴笍馃帀馃懓馃徎 #relieved,joy,0
549,"Hon. Miss Dashwood, whose manners very pretty face, she offended you have done before.",fear,0
550,I'm blessed with a wonderful older sister I'm so happy,joy,0
551,Every time I see the #GBBO advert..... #sugacravings #yummy #dietgonetohell     馃構馃構馃構,joy,0
552,@blackvoices Keep it up @gucci1017 #sober clear minded I see you over in Europe on tour killing the game right now!,sadness,0
553,My new alarm is praying. I wake up in the morning feeling like @KeshaRose oh 馃槏 evolution,fear,0
554,"@BrenFosterReal Happy Tuesday, Bren...Just stopping by to wish you a great day ahead filled with love and smiles 馃槞馃槞馃槞....Love and Miss you! 鉂�",joy,0
555,"5. KDRAMASSSSS ofcourse, PLL, bigbang theory, greys anatomy, grim, game of thrones",sadness,0
556,It's my time to shine 馃槄,joy,0
557,Unfortunately I鈥檓 that person that you could screw over a million times and I would still be there for you鈥�,Depression,1
558,You can clearly appreciate the sub-harmonics in both...-ONE馃挴馃槀馃槀馃槀馃憤馃徔,fear,0
559,Suicidal thoughts 馃槗   I just wish I鈥檇 help sooner before I lost u 馃槳,Depression,1
560,@IvankaTrump What's up w the profile pic??,sadness,0
561,solar eclipse = annoyed mood but grateful. #cantwait #awe #cool #soon,fear,0
562,I graduated yesterday and already had 8 family members asking what job I've got now 馃槀 #nightmare,sadness,0
563,Ready to start my day after practising my daily #meditation.Today's focus was on #gratitude and there are so many things to be #grateful for,joy,0
564,"I'm perhaps an introvert according to the text, but i dont hesitate to be friend with anyone esp the open minded one(s).",fear,0
565,Uncharted 4 on Crushing is the least fun I've ever ha splaying a video game,fear,0
566,@alxcxrte You're not a baby boy and you're sulking. Au contrair茅. [Chuckles as I shake my head],fear,0
567,"If your nail polish has hardened or is gummy, place the bottle in a pan of boiling water. The polish will be like new.",sadness,0
568,Its nice to stay in a small city from time to time  #starrynight,sadness,0
569,I wish for my Powers be multiplied and the Insight that I had into their understanding be made clearer #joy,joy,0
570,@TeenMomOG2 @Javimarroquin9 @KailLowry He is so cute! Your #minime for sure! #blessing,joy,0
571,My  passed today.  I would greatly appreciate any peaceful thoughts for my family.  Thank you friends.,Depression,1
572,Doing my daily devotionals brings  me such 馃檶馃徑 joy to my life. Its truly #amazing to study his words. #amen #godisgood #dailydevotionals,joy,0
573,The moment you feel so  you want to fall asleep in the  not to drown but to just relax and forget,Depression,1
574,deep blue ocean of pain,Depression,1
575,"So, do you ever write a story, think you nailed it, think, hot damn, now that's a killer story, and then get like thirty rejections?   Yeah, that' me right now.     ",Depression,1
576,How does life seem so easy to everybody else?,Depression,1
577,What can you say about @rogerfederer #awestruck.....,fear,0
578,"I wouldn鈥檛 be young again even if it were possible, but I am not going to pretend that growing old is all sweetness and light.    ",Depression,1
579,Took my dog for a walk to see it helped my mood. Now the doggy is happy!,Depression,1
580,"anxiety sucks man . you unintentionally make yourself sad, you feel alone even when you're not &amp; sometimes you dont even know whats wrong or where the feeling comes from u just feel it.     ",Depression,1
581,We are strong,Depression,1
582,Santorini is so beautiful 馃槏,joy,0
583,never had a dull moment with u guys 馃挄,fear,0
584,"@magicpencil I'd just whip up a cake batter or cookies &amp; throw it in 馃榾 bakewell, frangipani is made with almonds",joy,0
585,"  is understandable, especially if you're under pressure at school or from family members. Exam anxiety or depression might cause you to feel nervous or  , disrupting your sleeping or eating patterns.",Depression,1
586,Gotta do my best today and keep my happiness on and not let anything bring me down... big day today 馃挅馃鈽� #stoked,fear,0
587,@ian_beckett Have the most wonderful day Ian.,joy,0
588,"Fear not @lisajnc1951, God is with you, don't be discouraged, for He is your God, He strengthens and helps you at all time. Is 41:10",fear,0
589,#start my YouTube channel techno ayan please follow friends,fear,0
590,Little bit leave it' the best bit of love island so far 馃槀馃尨 #loveisland #hilarious #No1,joy,0
591,if anyone has any tips to help me worry less then hmu,anger,0
592,Not trying to offend nobody,anger,0
593,@tweetheart2017 @s_cala @Tooda @DonaldJTrumpJr @JamesESmithJr34 Being #gay is not an #Whatsupwiththat #nike #adidas #??,anger,0
594,Depression reduces my productivity,Depression,1
595,@071304Nathan Happy #blissful birthday,joy,0
596,Tue blues,sadness,0
597,Joker's job is to make public smile &amp,fear,0
598,@wildpawspics @starbeeston Don't miss out today then 馃憤馃捇馃構\n\nThey are soooo yummy 馃槅,joy,0
599,Sad and alone,Depression,1
600,@Kawells00 Oh your art so wonderful 馃槶,joy,0
601,@TheSocialCTV I'd never leave the couch again! #excited and #weary 鉂わ笍,sadness,0
602,"Lighten up, just enjoy life, smile more, laugh more, and don't get so worked up about things. Kenneth Branagh        ",Depression,1
603,Girls dmme your snap chat account,anger,0
604,@CNN @cnnbrk what is the #FakeNews of the day? Need my #laughter to start my day. @foxandfriends @realDonaldTrump @kilmeade @PeteHegseth,joy,0
605,Everyone's fake in this world. all are selfish,Depression,1
606,"Imagine being small, fat and slow鈥� yep that鈥檚 me ",Depression,1
607,if we're mutuals don't hesitate to kit fisto's lightsaber,fear,0
608,The happiest moments in life are not actually spent laughing or smiling the whole time with so many people around.'\n#JonaxxBBTWKab39,joy,0
609,@Good_Therapy and @CounsellorsCaf are talking about #depression today! What's trending in your community?,anger,0
610,"Another cup of coffee with cookies and smart, intelligent, brilliant ,the best  #attorneysatlaw . What can I do? God made us! #happy",joy,0
611,"Psalm 95:1-7 O come, let us sing to the聽Lord; let us make a joyful noise to the rock of our salvation!",joy,0
612,"@morrgancatt you dont have a bad smile at all, you should smile more often and share your smile with all your fans",joy,0
613,I am #extremely #talented and had #manyexperiences people wouldn't #wish #for and #dread yet had amazing moments too... #life #psychic,fear,0
614,Streetlights coming on. We can see stars! #amazing #SolarEclipse2017,joy,0
615,Great way to end the day(night?morning?) #馃槃,joy,0
616,A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,fear,0
617,@LoganPaul You share your jolly cheerful character that it makes so unique:),joy,0
618,鈥淚 guess my feelings got hurt鈥o I can finally move on鈥︹�� -jr huff n puff,Depression,1
619,"@bolarotibi @jamesatye @jacksonhull @danielmarion We're done! Interesting, informative and exhilarating 馃槃 #CollabAndComm",joy,0
620,You can't break what's already broken,Depression,1
621,"鈥淚 am very sad and I feel more miserable than I can say, and I do not know how far I鈥檝e come. I do not know what to do or what to think.鈥�",sadness,1
622,You always find the most comfortable position in bed after the alarm goes off,fear,0
623,@ArriFaun This was such a great way to start the day lmao 馃ぃ馃槀,joy,0
624,I can't believe a burrito was left on this sink and nobody though to trash it,fear,0
625,Well that was lovely.   Checked church Facebook page and I've been given a five star review for Sats wedding. #bashful,joy,0
626,Gm and have a  #Tuesday!,sadness,0
627,Fake smile is the smile which I use nowadays,Depression,1
628,Sometimes you have to smile to hide your fears and to laugh to hide your tears,fear,0
629,"""No matter how busy a person is, if they care they will always find time for you."" - Unknown!!      ",Depression,1
630,This is the day that the lord has made I will rejoice and BE GLAD IN IT! 馃檶馃徔馃専 #blessed #favored #loved #,joy,0
631,"||: I'll stay offline today. Most likely. And Theo, don't hesitate to @ me anytime",fear,0
632,Here is the message Cnbc is sending they Don't care that Melissa Lee has a horrible smile or a that Joe Kernan needs braces,sadness,0
633,@ChristinaSNP All this great news.... it must be hurting some folk to be happy about this. 馃槉,fear,0
634,@crumbs_oh @tradasro @WingsScotland @theSNP @STVNews @Channel4News Since when was being 'fair to Scotland' a concern for the British state?,fear,0
635,It's always the good people who undergo depression,Depression,1
636,I love the nightmare before Christmas and Hercules so much,fear,0
637,Don't be discouraged.,anger,0
638,Found out the peraon i liked wanted to that someone else #sadness,sadness,1
639,My hittas a shake the spot if I point my finger,fear,0
640,i don't know who i am or who i should be these days,Depression,1
641,Gooood morning it is such a #blessing to see another day all that Read this I hope have a great morning,joy,0
642,@SabeloMario @a16z @JimHarris Testimony of how much BS were broadcasted these last year. Pigs are not flying after all.,fear,0
643,3:44 is the most common time to wake up in middle of the night!,Depression,1
644,First pumpkin coffee of the season this morning! Thank you @DunkinDonuts for an automatic good day! 馃巸 #ecstatic #pumpkineverything,joy,0
645,First class of the day &amp,joy,0
646,"To Anyone struggling with depression, you have the right to feel the feelings you fighting to suppress! It鈥檚 ok to not feel ok, just try to take small steps and set tiny tasks every day.  Take the glass to the kitchen; Brush your hair;  Wash your hands;  You got this ",Depression,1
647,"Do what you want to do, Be who you want to be, This ain't no game, I said yes it's reality.      ",Depression,1
648,Living with anxiety is like being followed by a voice. It knows all your insecurities and uses them against you. It gets to the point when it's the loudest voice in the room. The only one you can hear.,Depression,1
649,It takes less #muscles to #laugh than to #frown - stops facial &amp,joy,0
650,"I've been going through a lot lately. Yesterday was my bday, and I was suicidal. So I skipped my Bday stream. I'm fighting the hard fight right now.. My apologies for not streaming &lt;/3       ",Depression,1
651,Words can't explain how thankful I am that I woke up today! It's all I need to know how blessed I truly am! #iGotAnotherDayToCreateLife 馃槏,joy,0
652,I am seriously considering takeing a day off just to stream all day really need to 馃槀 #馃槀 #streaming #take #the #day #off,joy,0
653,A #pessimist sees the difficulty in every #opportunity,fear,0
654,"our government talk and demand fairness and equality except when it comes to benefits, pay gaps, pensions, police etc etc  How can they give money to the LAZY but not support those who work ? oooh im  BULLSHIT your using it as an excuse for FREE MONEY.",Depression,1
655,"I told myself, that I would try to be better - to listen to myself and others when I know I'm making a wrong decision. A friend stood by me. I've disappointed that friend over and over, even recently. I know it's my fault that it happened and I hate me for it ",Depression,1
656,LogRhythm: LogRhythm helped First_Financial bank unify #threat data and #streamline responses. Learn how in this case study:鈥� 鈥�,fear,0
657,better care about yourself than about others because others wont care about you #lonely #sad #depressed,sadness,1
658,It's okay sus. Let that hurt go 馃 * that's me hugging ya bitter ass * 馃槀馃槀馃槀,fear,0
659,Ten: Amazing the snap power @AdrianMannarino gets off such a short back-swing! #threat @Wimbledon Rd of 16 #ATP 馃幘馃幘,fear,0
660,@Sethrogen HUGE fan of your work!!! But tell me how baked were you guys when y'all came up with the Sausage Party idea?? #hilarious,joy,0
661,Up bright and early for class today 馃槀馃憣馃従 I can't miss nane nother one,joy,0
662,"@NJ_1288 To spread some cheer in your colleagues otherwise dull life? It's like 'hey dude u got no chills, here have some email' 馃槣",sadness,0
663,@ButUCanCallMeZ I always wondered your feelings on this and I'm so glad to hear it. 馃槉,joy,0
664,@gammarus @Steel_Con @Scott_Helme People know your serious now brother! #awesome,joy,0
665,You'll know my importance once I'm dead,Depression,1
666,After being sober for 2 years I noted doing stuff gives long term happiness and ONLY having fun makes  me eventually feel empty,Depression,1
667,Happy birthday to @LauraJillSomers! Hope you have a lovely and wonderful day. :) *fellow Cancer fist bump*,joy,0
668,#Thoughtoftheday: 'Perpetual optimism is a force multiplier.' - Colin Powell #quote #optimism #positivity,joy,0
669,@Borovvicka 馃槀馃槀 i love ur angry comments,anger,0
670,"You aren't depressed, you are just a narcissist or simply, a f**king looser trying to cope.       ",Depression,1
671,Everyone posting instagram stories on beaches 馃檭,Depression,1
672,@executivegoth I tried a free Alpha trial to watch #dread and I'm sold. Worth the subscription alone. You all are incredible!,fear,0
673,May you please advise if this affects Doornpoort? We鈥檝e been in the dark since before 17:00 yesterday.,Depression,1
674,I hear you. You are not alone.,Depression,1
675,I got striked by #awesomeness and blinding people by all the #glory! #nosleep48,joy,0
676,#Sleep is my #drug. My bed is my dealer. My #alarm is the #cops. #School is the #jail. #TeamFollowBack,fear,0
677,Hate mail... gotta love it!\n#hate #writerslife #justsaying #begin #start #lovemylife #PositiveVibes,fear,0
678,"Cant keep up with daily updates every thing is so draining rn, no motivation to do anything anymore feel free to say hi to me or something idk. Cant be like this longer ngl i need help       ",Depression,1
679,Snorkel time #fury key west,anger,0
680,It's now raining and I can hear thunder growl somewhere. Good day to read some more.,fear,0
681,Sometimes I wish I could go back in time and erase the embarrassing moments 馃槵馃槴馃槶鉂わ笍馃尮,Depression,1
682,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,fear,0
683,Only two things will never leave me......depression and macharr鉂わ笍馃槶馃槶,Depression,1
684,I'm the wholesome drunk that sends people memes and compliments them at 2am on snap,fear,0
685,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",fear,0
686,"Yesterday i visited the railway station, not to visit somewhere but to jump in front of it",Depression,1
687,@jennvalley14 There would be no hesitation in naming 50 other things I'd rather be doing rn,fear,0
688,"@na_dirs Omg you're savage prof, this is hilarious 馃ぃ馃ぃ",joy,0
689,Sometimes we just have to discover what is good for us and what isn鈥檛馃槒,Depression,1
690,@huedrinkwater happy birthday cuzy xxx,joy,0
691,Anyone else feel  trying to process all the evil in this world?,Depression,1
692,Enjoying #StarGateSG1 on @WatchComet.! 馃憤馃徏馃槉馃摵\n#Stargate #SG1 #Watchcomet #Comettv #syfy #scifi #sciencefiction #tv #freetv #antenna #enjoyment,joy,0
693,Hey Andy Van Dyke Thanks for the recent follow! Happy to connect :) Look forward to your next interesting posts.,joy,0
694,Share your #smile today!,joy,0
695,So trying to get off this last Venlafaxine but it just isn鈥檛 happening everytime I try I feel like I鈥檓 going to fall over. I鈥檓 wobbly and I鈥檓 close to tears at most points but I need off the medication. Lost who I really am 馃様,Depression,1
696,Excellent customer service from @ao this morning. Thank you Kharis for your help! #CustomerService,joy,0
697,@VarunsPrincess_ Huhh It's awesome 馃槏\nI'm obsessed with it 馃槏馃槀,joy,0
698,"I love a bright life apart from any darkness and toxicity. Plenty of light and colours, smiles and good feelings, a healthy life..馃崈馃崅",joy,0
699,"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",fear,0
700,Listening to @danauerbach and watching the #eclipse at the dog park #bliss,joy,0
701,I don't understand what I'm going through nowadays. My mind isn't stable,Depression,1
702,"Day 4: Your brain and body adapt to pain, I have had 11 brain surgeries and the worst pain I felt was when I allowed my depression to defeat my spirit. Stand strong and carry on.      ",Depression,1
703,"I was just trying to have a nice conversation and he did this, I am so sad and depressed now馃槶馃槶馃槶.     ",Depression,1
704,There's loads to be #grateful for. Start by just looking in the mirror 馃挒鉁� #ThursdayThoughts,joy,0
705,When your at work and the button comes off your shorts 馃槓  #fatty,fear,0
706,"@hugaarondingle God, the way he said that line... 馃槶聽馃挃 #amazing #loveDannyBMiller #robron",joy,0
707,"If you die, she has billions to choose from. But your mom only has 1 choice!      ",Depression,1
708,It's human tendency to cheat,Depression,1
709,That took longer than expected lol. Was hella fun though and a good learning experience. If you've got any questions don't hesitate to ask!,fear,0
710,We are #successful the moment we start toward a laudable goal #JBenson #success #quoteoftheday #happiness,joy,0
711,yas bret you're always making me laugh ily 馃槝 @bretmanrock,joy,0
712,PUPPY FOR ADOPTIONS !!! Happy pics!! Please SHARE for exposure! Put out the word to good adopter prospects!...,joy,0
713,I think I have post gay weekend blues... so I bought a dildo 馃憤馃徎,sadness,0
714,I want a friendship group like in Friends 馃槯,fear,0
715,You every had that horrible sharp pain in your heart cause you know you have to forget about it but you don't want or believe in it! 馃槖馃槷鈥嶐煉煒�,Depression,1
716,The best thing about #australianninjawarrior tonight is watching the failed attempts on the bomb slider. #hilarious #laughingsohard 馃ぃ馃ぃ馃ぃ,joy,0
717,@ShaneMalwa @MajorPoonia @devyanidilli I believe ur mekka n madina also dikling which u kiss. A dark dirty one,fear,0
718,@16_vica #strange but #amazing but I #love your #pictures 馃槏,joy,0
719,I prefer death over life,Depression,1
720,"Another ""missing someone"" dream, I need to find a way to stop this. Another depressive day.       ",Depression,1
721,Love implies anger. The man who is angered by nothing cares about nothing. ~Edward Abbey #love,anger,0
722,@morninggloria You always look more #adorable 馃槈 after trip to Canada.,joy,0
723,"Humble yourself in the sight of the LORD. If we have died in Christ, then how can we be offended? A dead person cannot feel anything, right?",anger,0
724,@HUUEducation Thanks! Happy there are other sabbs here. Hope we can talk at lunch :),joy,0
725,"Absolutely blown away by @BatTheMusical this evening 馃槏 Such incredible sets, slick choreography and holy moly what insaaane vocals! #awe",fear,0
726,"When you feel like a smile will be fake, add a laugh to it. You will be surprised how joyful you will become.  #simplylovejesus",joy,0
727,Every time I fart my dog jumps in fear hahahaha yass,fear,0
728,"@sanga_wardene Probably, the way you converse...sounds funny, and I can't suppress a giggle. 馃槉",joy,0
729,Now about health: A body badly burned by  does not often  overnight nor do twisted  and  vanish in a twinkling.   鈥� Pg. 133 The Family Afterward,Depression,1
730,Happier than I have been in a long time \n#happy #smiles #beingme #wifey,joy,0
731,@superdupertashy What's with the frown? Cheer up!,anger,0
732,Sometimes you just have to stand alone to make sure you still can,Depression,1
733,I made a joke &amp,sadness,0
734,@russ_kent @IsabelOakeshott Inexplicably well paid talking head who lectures in impenetrable consultu-speak #dire,fear,0
735,A simple wallpaper ever 馃槀,joy,0
736,Let's wake up to @GMB and see @piersmorgan and then want to put your fist through the television #talkstripe #tosspot  #gobshite,fear,0
737,"I could 馃槶 rn I am so blessed with the friends I have, they support and love me through everything and I couldn't thank them enough 馃槶鉂わ笍",joy,0
738,"An email that will never be sent, a message that will remain unsaid, a voice never heard again. #loss #sorrow #Friends",sadness,1
739,@Skinnytaste made your Chicken Tikka Masala w/ cauliflower &amp,joy,0
740,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 馃槀馃檲,fear,0
741,"Quite glad for a spot of rain, and happy it held off until 鈥榣unch鈥� so daughter no1 could enjoy circus antics at school this am.",joy,0
742,ebullient [ih BUL yunt] adj.boiling,anger,0
743,Chicks I don't even talk to look up to me. #flattered,joy,0
744,It's okay sus. Let that hurt go 馃 * that's me hugging ya bitter ass * 馃槀馃槀馃槀,sadness,0
745,I've been extremely depressed for the last month or so but recently have been feeling better now that I have a better sleep schedule and trying to get some morning sunlight. It won't fix depression and anxiety completely but it surely helps.,Depression,1
746,I'm BEYOND entertained 馃槀 and in this case it's a sad thing to witness 馃槀馃槀 watch and loving the dms 馃槝 #flattered #cantdoitlikeme #poorthing 馃構,joy,0
747,@empireofthekop Are we sponsored by #Tango now ? #whopicksthesecolours #youvebeentangoed  #kak,fear,0
748,Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 馃榿 #niallhoran #Dublin #music,joy,0
749,"This is heart-stopping, take-my-breath-away fun! I. Like. It. A lot. #justsayin #laughing",joy,0
750,I'm depressed I'm useless I'm hopeless I'm lonely I'm broken I'm tired I wanna die 馃槶馃槶馃槶馃槶 Someone please help me Tell me that this is gonna be okay,Depression,1
751,All because they do not wish to see anyone else suffer the way they do!,Depression,1
752,Don鈥檛 let anyone ruin your day. Have a bad day and look for 3 things that went well for you 馃憣馃徎,Depression,1
753,@SSAFA Congratulations #DamianDagg and #JoshuaThorne. I wish you a  #future #together鉂わ笍,joy,0
754,@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you 馃槀馃槀,sadness,0
755,Give me some Sunshine i wanna grow up once again,Depression,1
756," impacts us and those around us. But they can鈥檛 pull us out of it. However, they can support us as we take steps to improve our mood and heal. ",Depression,1
757,Chad and Sarah is honestly me and my ex 10 years ago 馃槀馃槀 #CBB #horrifying,sadness,0
758,@TheSocialCTV was a guest at your show today .. Just wanted to say what an enjoyable experience from arriving to leaving #smiling,joy,0
759,So good to see @richie_porte smiling and feeling positive from his hospital bed on #sbstdf tonight. Get well soon!!,joy,0
760,The world is bad but not without hope. It is only hopeless when you look at it from an ideal viewpoint -,Depression,1
761,this could be how you start a conversation with a loved one about depression: I wanted to check in with you because you seem pretty down lately,Depression,1
762,"I met a new neighbor, bonded with another neighbor all due to the eclipse #blessing",joy,0
763,You can't stay mad at someone who makes you smile.,anger,0
764,One of my clients just said that my look reminded her of Kim Kardashian! Oh shoot hey now! Watch out...\nNot bad.. okay #flattered,joy,0
